Date,Observers,Time,Site-ID,SiteType,PatchType,GPS Location,,Bird Use,,Elevation(m),Snow Depth,Percent Snow Cover,WindSpeed,Comments about site,BirdID,Sex,ArgosID,BR,NB,PA,RA,Browsed Plants,,,,,,,,,,,,,,,,,,
,,,,,,,,Date Used,Time Used,,,,,,,,,,,,,Sample Type,ID (BR#),Paired With,Sample Type,Browse,,Pellets,,Volume,,,Daubenmire ,,,,,,Pic ID,Comments
,,,,,,Latitude ,Longitude,,,,,,,,,,,,,,,,,,,New Browse,Old Browse,New Pellets,Old Pellets,Height,Width1,Width2,grass,forbs ,sage,bare-ground,other_shrub,other,,
date,obs,time,site_id,site_type,patch_type,lat,long,date,time,ele,snow_depth,snow_cov,wind_speed,site_comm,bird_id,sex,argos_id,br,nb,pa,ra,sample_type,id_br,paired_with,sample,new_browse,old_browse,new_pellets,old_pellets,height,width_one,width_two,grass,forbs ,sage,bare_ground,other_shrub,other,pic_id,comm
2018-05-07,"AC, PPW",13:30:00,113 (antechinus),RAN 129060 20180507 DBV,Random paired with veg,38.14131,-119.11407,N/A,N/A,2362,0,0,N/A,sandy/clay soil,108,M,129060,0,0,0,6,Artemisia tridentata vaseyana,RA5,NA,RA,0,N,N,N,20,42,51,0,0,0-5,75-100,0,0,310,
2018-05-07,"AC, PPW",13:30:00,113 (antechinus),RAN 129060 20180507 DBV,Random paired with veg,38.14131,-119.11407,N/A,N/A,2362,0,0,N/A,sandy/clay soil,108,M,129060,0,0,0,6,Artemisia tridentata vaseyana,RA6,NA,RA,0,N,N,N,18,26,42,5-25,5-25,0,50-75,0,0,311,
2018-05-03,"AC, PPW, EFT",10:00,187,DBV,Off lek forage,38.166295,-119.042799,2018-05-02,15:00,2417,N/A,N/A,N/A,"12 browsed plants found, both short and Artemisia tridentata vaseyana. Right on edge of very open low sage path",357,M,129091,3,6,0,0,Artemisia tridentata nova,BR1,"NB1, NB2",BR,22,Y,Y,N,22,54,64,0-5,0-5,0,75-100,0,0,179,Pellets collected
2018-05-03,"AC, PPW, EFT",10:00,187,DBV,Off lek forage,38.166295,-119.042799,2018-05-02,15:00,2417,N/A,N/A,N/A,"12 browsed plants found, both short and Artemisia tridentata vaseyana. Right on edge of very open low sage path",357,M,129091,3,6,0,0,Artemisia tridentata nova,BR2,"NB3, NB4",BR,21,Y,Y,Y,40,118,88,5-25,0,0,50-75,0,25-50,182,25-50% woody
2018-05-03,"AC, PPW, EFT",10:00,187,DBV,Off lek forage,38.166295,-119.042799,2018-05-02,15:00,2417,N/A,N/A,N/A,"12 browsed plants found, both short and Artemisia tridentata vaseyana. Right on edge of very open low sage path",357,M,129091,3,6,0,0,Artemisia tridentata vaseyana,BR3,"NB5, NB6",BR,43,Y,N,Y,75,170,142,5-25,0,5-25,75-100,0,0,185,very spread out plant
2018-05-03,"AC, PPW, EFT",10:00,187,DBV,Off lek forage,38.166295,-119.042799,2018-05-02,15:00,2417,N/A,N/A,N/A,"12 browsed plants found, both short and Artemisia tridentata vaseyana. Right on edge of very open low sage path",357,M,129091,3,6,0,0,Artemisia tridentata nova,NB1,BR1,NB,0,N,Y,N,16,48,61,0,0-5,0,75-100,0,0,180,
2018-05-03,"AC, PPW, EFT",10:00,187,DBV,Off lek forage,38.166295,-119.042799,2018-05-02,15:00,2417,N/A,N/A,N/A,"12 browsed plants found, both short and Artemisia tridentata vaseyana. Right on edge of very open low sage path",357,M,129091,3,6,0,0,Artemisia tridentata nova,NB2,BR1,NB,0,N,N,N,27,28,50,0-5,0,0,75-100,0,0,181,
2018-05-03,"AC, PPW, EFT",10:00,187,DBV,Off lek forage,38.166295,-119.042799,2018-05-02,15:00,2417,N/A,N/A,N/A,"12 browsed plants found, both short and Artemisia tridentata vaseyana. Right on edge of very open low sage path",357,M,129091,3,6,0,0,Artemisia tridentata nova,NB3,BR2,NB,2,N,N,N,12,23,26,0-5,0-5,5-25,75-100,0,0,183,dead sage
2018-05-03,"AC, PPW, EFT",10:00,187,DBV,Off lek forage,38.166295,-119.042799,2018-05-02,15:00,2417,N/A,N/A,N/A,"12 browsed plants found, both short and Artemisia tridentata vaseyana. Right on edge of very open low sage path",357,M,129091,3,6,0,0,Artemisia tridentata nova,NB4,BR2,NB,0,N,N,N,18,43,43,0-5,0,0,75-100,0,0,184,
2018-05-03,"AC, PPW, EFT",10:00,187,DBV,Off lek forage,38.166295,-119.042799,2018-05-02,15:00,2417,N/A,N/A,N/A,"12 browsed plants found, both short and Artemisia tridentata vaseyana. Right on edge of very open low sage path",357,M,129091,3,6,0,0,Artemisia tridentata vaseyana,NB5,BR3,NB,0,N,N,N,41,45,33,0,0,0,75-100,0,0,186,
2018-05-03,"AC, PPW, EFT",10:00,187,DBV,Off lek forage,38.166295,-119.042799,2018-05-02,15:00,2417,N/A,N/A,N/A,"12 browsed plants found, both short and Artemisia tridentata vaseyana. Right on edge of very open low sage path",357,M,129091,3,6,0,0,Artemisia tridentata vaseyana,NB6,BR3,NB,0,Y,N,Y,34,48,67,0-5,0,0,75-100,0,5-25,187,5-25% woody
2018-05-03,"AC, PPW, EFT",11:09,188,RAN,Random paired with BD veg,38.1679,N/A,N/A,N/A,2383,N/A,N/A,N/A,Random pair with DBV; NW facing slope,357,M,129091,0,0,0,6,Artemisia tridentata nova,RA1,N/A,RA,0,Y,N,N,13,14,32,0-5,0-5,0,75-100,0,0,188,lagomorph pellets
2018-05-03,"AC, PPW, EFT",11:09,188,RAN,Random paired with BD veg,38.1679,N/A,N/A,N/A,2383,N/A,N/A,N/A,Random pair with DBV; NW facing slope,357,M,129091,0,0,0,6,Artemisia tridentata nova,RA2,N/A,RA,0,Y,N,N,15,38,40,0-5,0,0,75-100,0,5-25,189,lagomorph pellets; 5-25% woody
2018-05-03,"AC, PPW, EFT",11:09,188,RAN,Random paired with BD veg,38.1679,N/A,N/A,N/A,2383,N/A,N/A,N/A,Random pair with DBV; NW facing slope,357,M,129091,0,0,0,6,Artemisia tridentata vaseyana,RA3,N/A,RA,0,N,N,N,13,16,17,0-5,5-25,5-25,75-100,0,0,190,lagomorph pellets
2018-05-03,"AC, PPW, EFT",11:09,188,RAN,Random paired with BD veg,38.1679,N/A,N/A,N/A,2383,N/A,N/A,N/A,Random pair with DBV; NW facing slope,357,M,129091,0,0,0,6,Tridentata sp,RA4,N/A,RA,0,N,N,N,25,57,73,0-5,0-5,0-5,75-100,0,0,191,
2018-05-03,"AC, PPW, EFT",11:09,188,RAN,Random paired with BD veg,38.1679,N/A,N/A,N/A,2383,N/A,N/A,N/A,Random pair with DBV; NW facing slope,357,M,129091,0,0,0,6,Tridentata sp,RA5,N/A,RA,0,Y,N,N,31,53,39,0,0-5,0-5,75-100,0,0,192,
2018-05-03,"AC, PPW, EFT",11:09,188,RAN,Random paired with BD veg,38.1679,N/A,N/A,N/A,2383,N/A,N/A,N/A,Random pair with DBV; NW facing slope,357,M,129091,0,0,0,6,Artemisia tridentata vaseyana,RA6,N/A,RA,0,N,N,N,18,25,26,0,0,0,75-100,0,0,193,
2018-05-04,EFT,7:25,PARKER,DBV,Off lek forage,37.86971,-119.11338,2018-05-03,14:00,2188,N/A,N/A,N/A,Very hard to find browse (only 1?). All Artemisia tridentata vaseyana,163917,M,163917,1,2,1,4,Artemisia tridentata vaseyana,BR1,"NB1, NB2",BR,36,Y,N,N,76,168,159,0-5,0-5,0,75-100,0,5-25,197,"Very large, 50% dead; 5-25% woody"
2018-05-04,EFT,7:25,PARKER,DBV,Off lek forage,37.86971,-119.11338,2018-05-03,14:00,2188,N/A,N/A,N/A,Very hard to find browse (only 1?). All Artemisia tridentata vaseyana,163917,M,163917,1,2,1,4,Artemisia tridentata vaseyana,PA1,"RA1, RA2",PA,2,Y,Y,Y,79,182,162,50-75,0-5,0-5,5-25,0,0,194,
2018-05-04,EFT,7:25,PARKER,DBV,Off lek forage,37.86971,-119.11338,2018-05-03,14:00,2188,N/A,N/A,N/A,Very hard to find browse (only 1?). All Artemisia tridentata vaseyana,163917,M,163917,1,2,1,4,Artemisia tridentata vaseyana,NB1,BR1,NB,0,Y,N,N,32,45,40,5-25,0-5,0,75-100,0,0-15,198,0-15% woody
2018-05-04,EFT,7:25,PARKER,DBV,Off lek forage,37.86971,-119.11338,2018-05-03,14:00,2188,N/A,N/A,N/A,Very hard to find browse (only 1?). All Artemisia tridentata vaseyana,163917,M,163917,1,2,1,4,Artemisia tridentata vaseyana,NB2,BR1,NB,2,N,N,Y,37,89,57,0-5,0-5,0,75-100,0,5-25,199,5-25% woody
2018-05-04,EFT,7:25,PARKER,DBV,Off lek forage,37.86971,-119.11338,2018-05-03,14:00,2188,N/A,N/A,N/A,Very hard to find browse (only 1?). All Artemisia tridentata vaseyana,163917,M,163917,1,2,1,4,Artemisia tridentata vaseyana,RA1,PA1,RA,0,N,N,N,27,28,20,5-25,0-5,0,50-75,0,0,195,
2018-05-04,EFT,7:25,PARKER,DBV,Off lek forage,37.86971,-119.11338,2018-05-03,14:00,2188,N/A,N/A,N/A,Very hard to find browse (only 1?). All Artemisia tridentata vaseyana,163917,M,163917,1,2,1,4,Artemisia tridentata vaseyana,RA2,PA1,RA,0,N,N,Y,59,138,99,5-25,0-5,0,50-75,0,0,196,
2018-05-04,EFT,7:25,PARKER,DBV,Off lek forage,37.86971,-119.11338,2018-05-03,14:00,2188,N/A,N/A,N/A,Very hard to find browse (only 1?). All Artemisia tridentata vaseyana,163917,M,163917,1,2,1,4,Artemisia tridentata vaseyana,RA3,N/A,RA,0,N,N,N,31,65,80,50-75,0,0,5-25,0,0,200,
2018-05-04,EFT,7:25,PARKER,DBV,Off lek forage,37.86971,-119.11338,2018-05-03,14:00,2188,N/A,N/A,N/A,Very hard to find browse (only 1?). All Artemisia tridentata vaseyana,163917,M,163917,1,2,1,4,Artemisia tridentata vaseyana,RA4,N/A,RA,0,N,N,N,60,61,93,5-25,0-5,0,75-100,0,0,201,
2018-05-04,"EFT, AC, PPW",8:25,PARKER,RAN,Random paired with BD veg,37.86882,-119.114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,163917,M,163917,0,0,0,6,Artemisia tridentata vaseyana,RA1,N/A,RA,0,N,N,N,54,165,89,0-5,0-5,0,75-100,0,0,202,
2018-05-04,"EFT, AC, PPW",8:25,PARKER,RAN,Random paired with BD veg,37.86882,-119.114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,163917,M,163917,0,0,0,6,Artemisia tridentata vaseyana,RA2,N/A,RA,0,N,N,Y,41,43,70,0,0,5-25,75-100,0,0,203,Lagomorph + cervid pellets
2018-05-04,"EFT, AC, PPW",8:25,PARKER,RAN,Random paired with BD veg,37.86882,-119.114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,163917,M,163917,0,0,0,6,Artemisia tridentata vaseyana,RA3,N/A,RA,0,Y,N,N,46,61,68,50-75,0-5,25-50,5-25,0,0,204,
2018-05-04,"EFT, AC, PPW",8:25,PARKER,RAN,Random paired with BD veg,37.86882,-119.114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,163917,M,163917,0,0,0,6,Artemisia tridentata vaseyana,RA4,N/A,RA,0,Y,N,N,37,48,60,0-5,0-5,0,75-100,0,0,205,
2018-05-04,"EFT, AC, PPW",8:25,PARKER,RAN,Random paired with BD veg,37.86882,-119.114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,163917,M,163917,0,0,0,6,Artemisia tridentata vaseyana,RA5,N/A,RA,0,Y,N,N,44,46,34,25-50,0-5,5-25,5-25,0,0,206,
2018-05-04,"EFT, AC, PPW",8:25,PARKER,RAN,Random paired with BD veg,37.86882,-119.114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,163917,M,163917,0,0,0,6,Artemisia tridentata vaseyana,RA6,N/A,RA,0,N,N,Y,66,89,93,0-5,0-5,0-5,75-100,0,5-25,207,5-25% woody
2018-05-04,"PPW, AC, EFT",9:30,195,DBV,Off lek forage,37.87123,-119.115,2018-05-03,N/A,N/A,N/A,N/A,1-5,Near open meadow. All Artemisia tridentata vaseyana,141914,M,141914,3,6,0,0,Artemisia tridentata vaseyana,BR1,"NB1, NB2",BR,15,Y,N,N,39,72,72,25-50,0-5,0,50-75,0,0,208,
2018-05-04,"PPW, AC, EFT",9:30,195,DBV,Off lek forage,37.87123,-119.115,2018-05-03,N/A,N/A,N/A,N/A,1-5,Near open meadow. All Artemisia tridentata vaseyana,141914,M,141914,3,6,0,0,Artemisia tridentata vaseyana,BR2,"NB3, NB4",BR,14,Y,N,N,41,110,97,25-50,0-5,0,5-25,0,25-50,209,25-50% moss
2018-05-04,"PPW, AC, EFT",9:30,195,DBV,Off lek forage,37.87123,-119.115,2018-05-03,N/A,N/A,N/A,N/A,1-5,Near open meadow. All Artemisia tridentata vaseyana,141914,M,141914,3,6,0,0,Artemisia tridentata vaseyana,BR3,"NB5, NB6",BR,12,N,N,N,33,68,72,5-25,0-5,0,50-75,5-25,0,210,5-25% woody (in other shrub column)
2018-05-04,"PPW, AC, EFT",9:30,195,DBV,Off lek forage,37.87123,-119.115,2018-05-03,N/A,N/A,N/A,N/A,1-5,Near open meadow. All Artemisia tridentata vaseyana,141914,M,141914,3,6,0,0,Artemisia tridentata vaseyana,NB1,BR1,NB,0,Y,N,Y,41,63,61,5-25,0-5,0,75-100,0,0,211,
2018-05-04,"PPW, AC, EFT",9:30,195,DBV,Off lek forage,37.87123,-119.115,2018-05-03,N/A,N/A,N/A,N/A,1-5,Near open meadow. All Artemisia tridentata vaseyana,141914,M,141914,3,6,0,0,Artemisia tridentata vaseyana,NB2,BR1,NB,0,Y,N,Y,54,78,75,50-75,5-25,0,25-50,0,0,212,
2018-05-04,"PPW, AC, EFT",9:30,195,DBV,Off lek forage,37.87123,-119.115,2018-05-03,N/A,N/A,N/A,N/A,1-5,Near open meadow. All Artemisia tridentata vaseyana,141914,M,141914,3,6,0,0,Artemisia tridentata vaseyana,NB3,BR2,NB,2,Y,N,Y,54,144,115,25-50,0-5,0,50-75,0,5-25,213,5-25% moss
2018-05-04,"PPW, AC, EFT",9:30,195,DBV,Off lek forage,37.87123,-119.115,2018-05-03,N/A,N/A,N/A,N/A,1-5,Near open meadow. All Artemisia tridentata vaseyana,141914,M,141914,3,6,0,0,Artemisia tridentata vaseyana,NB4,BR2,NB,2,Y,N,N,54,129,118,5-25,0,0,75-100,0,0,214,
2018-05-04,"PPW, AC, EFT",9:30,195,DBV,Off lek forage,37.87123,-119.115,2018-05-03,N/A,N/A,N/A,N/A,1-5,Near open meadow. All Artemisia tridentata vaseyana,141914,M,141914,3,6,0,0,Artemisia tridentata vaseyana,NB5,BR3,NB,0,N,N,N,15,38,15,5-25,0-5,0-5,75-100,0,0,215,
2018-05-04,"PPW, AC, EFT",9:30,195,DBV,Off lek forage,37.87123,-119.115,2018-05-03,N/A,N/A,N/A,N/A,1-5,Near open meadow. All Artemisia tridentata vaseyana,141914,M,141914,3,6,0,0,Artemisia tridentata vaseyana,NB6,BR3,NB,0,Y,N,N,31,48,45,0-5,0,5-25,25-50,0,0,216,Dead grass
2018-05-04,"EFT, AC, PPW",N/A,197 (cus cus),RAN,Random paired with BD veg,37.87212,-119.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,141914,M,141914,0,0,0,6,Artemisia tridentata vaseyana,RA1,N/A,RA,0,Y,N,Y,24,79,78,0-5,0-5,0,75-100,0,0,217,Next to roost
2018-05-04,"EFT, AC, PPW",N/A,197 (cus cus),RAN,Random paired with BD veg,37.87212,-119.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,141914,M,141914,0,0,0,6,Artemisia tridentata vaseyana,RA2,N/A,RA,0,Y,N,N,33,92,55,0-5,0,5-25,75-100,0,0,218,
2018-05-04,"EFT, AC, PPW",N/A,197 (cus cus),RAN,Random paired with BD veg,37.87212,-119.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,141914,M,141914,0,0,0,6,Artemisia tridentata vaseyana,RA3,N/A,RA,0,Y,N,Y,19,34,20,5-25,0,5-25,75-100,0,0,219,90+% dead; old roost pile
2018-05-04,"EFT, AC, PPW",N/A,197 (cus cus),RAN,Random paired with BD veg,37.87212,-119.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,141914,M,141914,0,0,0,6,Artemisia tridentata vaseyana,RA4,N/A,RA,0,N,N,N,37,54,48,5-25,0-5,0-5,75-100,0,0,220,15% dead
2018-05-04,"EFT, AC, PPW",N/A,197 (cus cus),RAN,Random paired with BD veg,37.87212,-119.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,141914,M,141914,0,0,0,6,Artemisia tridentata vaseyana,RA5,N/A,RA,0,N,N,Y,24,148,103,5-25,0-5,0,75-100,0,0,221,"80% dead, roost pile, dead sage"
2018-05-04,"EFT, AC, PPW",N/A,197 (cus cus),RAN,Random paired with BD veg,37.87212,-119.115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,141914,M,141914,0,0,0,6,Artemisia tridentata vaseyana,RA6,N/A,RA,0,Y,N,Y,45,113,99,0-5,0-5,5-25,75-100,0,0,222,50% dead
2018-05-05,"AC, PPW",10:30,203 (cus cus),DBV,Off lek forage,38.13908,-119.111,2018-05-04,15:00,2332,N/A,N/A,N/A,"No browse, dustbath sites",108,M,129060,0,0,0,6,Artemisia tridentata vaseyana,RA1,N/A,RA,0,N,N,N,85,115,125,0-5,5-25,50-75,25-50,0,0,225,"50% dead, 50-75% woody/dead sage"
2018-05-05,"AC, PPW",10:30,203 (cus cus),DBV,Off lek forage,38.13908,-119.111,2018-05-04,15:00,2332,N/A,N/A,N/A,"No browse, dustbath sites",108,M,129060,0,0,0,6,Artemisia tridentata vaseyana,RA2,N/A,RA,0,N,N,N,21,33,21,0,0-5,0-5,75-100,0,0,226,
2018-05-05,"AC, PPW",10:30,203 (cus cus),DBV,Off lek forage,38.13908,-119.111,2018-05-04,15:00,2332,N/A,N/A,N/A,"No browse, dustbath sites",108,M,129060,0,0,0,6,Artemisia tridentata nova,RA3,N/A,RA,0,N,N,N,27,46,46,0-5,0-5,0,75-100,0,0,227,
2018-05-05,"AC, PPW",10:30,203 (cus cus),DBV,Off lek forage,38.13908,-119.111,2018-05-04,15:00,2332,N/A,N/A,N/A,"No browse, dustbath sites",108,M,129060,0,0,0,6,Artemisia tridentata nova,RA4,N/A,RA,0,N,N,N,35,79,68,0,0-5,0,75-100,0,0,228,
2018-05-05,"AC, PPW",10:30,203 (cus cus),DBV,Off lek forage,38.13908,-119.111,2018-05-04,15:00,2332,N/A,N/A,N/A,"No browse, dustbath sites",108,M,129060,0,0,0,6,Artemisia tridentata nova,RA5,N/A,RA,0,N,N,N,43,59,54,0,5-25,0,75-100,0-5,0,229,0-5% bitterbrush
2018-05-05,"AC, PPW",10:30,203 (cus cus),DBV,Off lek forage,38.13908,-119.111,2018-05-04,15:00,2332,N/A,N/A,N/A,"No browse, dustbath sites",108,M,129060,0,0,0,6,Artemisia tridentata vaseyana,RA6,N/A,RA,0,N,N,N,52,129,94,0-5,5-25,0,75-100,0,0,230,
2018-05-05,"AC, PPW",11:00,104 (antechinus),RAN,Random paired with BD veg,38.13919,-119.112,N/A,N/A,2345,N/A,N/A,N/A,"Very rocky, sandy soil. Only shortleaf plants",108,M,129060,0,0,0,6,Artemisia tridentata nova,RA1,N/A,RA,0,N,N,N,20,36,37,0-5,0-5,0,75-100,0,0,231,
2018-05-05,"AC, PPW",11:00,104 (antechinus),RAN,Random paired with BD veg,38.13919,-119.112,N/A,N/A,2345,N/A,N/A,N/A,"Very rocky, sandy soil. Only shortleaf plants",108,M,129060,0,0,0,6,Artemisia tridentata nova,RA2,N/A,RA,0,N,N,N,28,51,46,0,0-5,0,75-100,0,0,232,
2018-05-05,"AC, PPW",11:00,104 (antechinus),RAN,Random paired with BD veg,38.13919,-119.112,N/A,N/A,2345,N/A,N/A,N/A,"Very rocky, sandy soil. Only shortleaf plants",108,M,129060,0,0,0,6,Artemisia tridentata nova,RA3,N/A,RA,0,Y,N,N,17,61,47,0-5,0,0,75-100,0,5-25,233,5-25% woody
2018-05-05,"AC, PPW",11:00,104 (antechinus),RAN,Random paired with BD veg,38.13919,-119.112,N/A,N/A,2345,N/A,N/A,N/A,"Very rocky, sandy soil. Only shortleaf plants",108,M,129060,0,0,0,6,Artemisia tridentata nova,RA4,N/A,RA,0,Y,N,N,25,80,67,0-5,0-5,0,75-100,0,0,235,
2018-05-05,"AC, PPW",11:00,104 (antechinus),RAN,Random paired with BD veg,38.13919,-119.112,N/A,N/A,2345,N/A,N/A,N/A,"Very rocky, sandy soil. Only shortleaf plants",108,M,129060,0,0,0,6,Artemisia tridentata nova,RA5,N/A,RA,0,N,N,Y,31,109,78,0-5,0-5,50-75,50-75,0,0,238,
2018-05-05,"AC, PPW",11:00,104 (antechinus),RAN,Random paired with BD veg,38.13919,-119.112,N/A,N/A,2345,N/A,N/A,N/A,"Very rocky, sandy soil. Only shortleaf plants",108,M,129060,0,0,0,6,Artemisia tridentata nova,RA6,N/A,RA,0,Y,N,N,26,61,52,0-5,0-5,25-50,50-75,0,0,236,dead sage
2018-05-06,"EFT, AC, PPW",8:00,105 (antechinus),DBV,Off lek forage,38.174959,-119.080,2018-05-04,15:00,2058,N/A,N/A,N/A,Very close to highway. Only longleaf morphotype. Dominated by bitterbrush. Sparse sage,341,M,135165,2,4,1,2,Artemisia tridentata vaseyana,BR1,"NB1, NB2",BR,10,N,Y,Y,25,27,19,0,0,0-5,75-100,0,0,240,dead sage
2018-05-06,"EFT, AC, PPW",8:00,105 (antechinus),DBV,Off lek forage,38.174959,-119.080,2018-05-04,15:00,2058,N/A,N/A,N/A,Very close to highway. Only longleaf morphotype. Dominated by bitterbrush. Sparse sage,341,M,135165,2,4,1,2,Artemisia tridentata vaseyana,BR2,"NB3, NB4",BR,16,N,N,Y,43,79,66,5-25,0,0,75-100,0,0,242,
2018-05-06,"EFT, AC, PPW",8:00,105 (antechinus),DBV,Off lek forage,38.174959,-119.080,2018-05-04,15:00,2058,N/A,N/A,N/A,Very close to highway. Only longleaf morphotype. Dominated by bitterbrush. Sparse sage,341,M,135165,2,4,1,2,Artemisia tridentata vaseyana,PA1,"RA1, RA2",PA,0,N,Y,N,34,89,73,0-5,0-5,50-75,50-75,0,0,245,dead sage
2018-05-06,"EFT, AC, PPW",8:00,105 (antechinus),DBV,Off lek forage,38.174959,-119.080,2018-05-04,15:00,2058,N/A,N/A,N/A,Very close to highway. Only longleaf morphotype. Dominated by bitterbrush. Sparse sage,341,M,135165,2,4,1,2,Artemisia tridentata vaseyana,NB1,BR1,NB,0,N,N,N,25,35,14,0-5,5-25,0,75-100,0,25-50,239,75% dead; 25-50% woody
2018-05-06,"EFT, AC, PPW",8:00,105 (antechinus),DBV,Off lek forage,38.174959,-119.080,2018-05-04,15:00,2058,N/A,N/A,N/A,Very close to highway. Only longleaf morphotype. Dominated by bitterbrush. Sparse sage,341,M,135165,2,4,1,2,Artemisia tridentata vaseyana,NB2,BR1,NB,0,N,N,Y,63,146,157,5-25,0,0,75-100,5-25,0,241,bitterbrush from near base; 5-25% bitterbrush
2018-05-06,"EFT, AC, PPW",8:00,105 (antechinus),DBV,Off lek forage,38.174959,-119.080,2018-05-04,15:00,2058,N/A,N/A,N/A,Very close to highway. Only longleaf morphotype. Dominated by bitterbrush. Sparse sage,341,M,135165,2,4,1,2,Artemisia tridentata vaseyana,NB3,BR2,NB,0,N,N,N,69,74,77,25-50,0,0,50-75,0,0,243,
2018-05-06,"EFT, AC, PPW",8:00,105 (antechinus),DBV,Off lek forage,38.174959,-119.080,2018-05-04,15:00,2058,N/A,N/A,N/A,Very close to highway. Only longleaf morphotype. Dominated by bitterbrush. Sparse sage,341,M,135165,2,4,1,2,Artemisia tridentata vaseyana,NB4,BR2,NB,0,Y,N,Y,77,179,165,5-25,0,0,75-100,0,0,244,lots of aphids
2018-05-06,"EFT, AC, PPW",8:00,105 (antechinus),DBV,Off lek forage,38.174959,-119.080,2018-05-04,15:00,2058,N/A,N/A,N/A,Very close to highway. Only longleaf morphotype. Dominated by bitterbrush. Sparse sage,341,M,135165,2,4,1,2,Artemisia tridentata vaseyana,RA1,PA1,RA,0,N,N,N,32,28,31,5-25,0-5,0,50-75,0,5-25,247,5-25% woody
2018-05-06,"EFT, AC, PPW",8:00,105 (antechinus),DBV,Off lek forage,38.174959,-119.080,2018-05-04,15:00,2058,N/A,N/A,N/A,Very close to highway. Only longleaf morphotype. Dominated by bitterbrush. Sparse sage,341,M,135165,2,4,1,2,Artemisia tridentata vaseyana,RA2,PA1,RA,0,N,N,N,30,56,54,0,0,5-25,75-100,0,0,246,
2018-05-06,"EFT, AC, PPW",8:45,106 (antechinus),RAN,Random paired with BD veg,38.17548,-119.079,N/A,N/A,2489,N/A,N/A,N/A,Ant hills. Only Artemisia tridentata vaseyana morphotype. Sparse bitterbrush,341,M,135165,0,0,0,6,Artemisia tridentata vaseyana,RA1,N/A,RA,0,N,N,N,47,78,107,0,0-5,0,75-100,0,0,248,Available veg only in crown of plant
2018-05-06,"EFT, AC, PPW",8:45,106 (antechinus),RAN,Random paired with BD veg,38.17548,-119.079,N/A,N/A,2489,N/A,N/A,N/A,Ant hills. Only Artemisia tridentata vaseyana morphotype. Sparse bitterbrush,341,M,135165,0,0,0,6,Artemisia tridentata vaseyana,RA2,N/A,RA,0,N,N,N,45,55,59,50-75,0-5,0,25-50,0,0,249,Most grass is residual; bitterbrush growing through middle
2018-05-06,"EFT, AC, PPW",8:45,106 (antechinus),RAN,Random paired with BD veg,38.17548,-119.079,N/A,N/A,2489,N/A,N/A,N/A,Ant hills. Only Artemisia tridentata vaseyana morphotype. Sparse bitterbrush,341,M,135165,0,0,0,6,Artemisia tridentata vaseyana,RA3,N/A,RA,0,N,N,N,37,65,66,0-5,0-5,0,75-100,0,0,250,"85% dead, aphids"
2018-05-06,"EFT, AC, PPW",8:45,106 (antechinus),RAN,Random paired with BD veg,38.17548,-119.079,N/A,N/A,2489,N/A,N/A,N/A,Ant hills. Only Artemisia tridentata vaseyana morphotype. Sparse bitterbrush,341,M,135165,0,0,0,6,Artemisia tridentata vaseyana,RA4,N/A,RA,0,N,N,N,54,117,134,0-5,0-5,5-25,75-100,0,0,251,
2018-05-06,"EFT, AC, PPW",8:45,106 (antechinus),RAN,Random paired with BD veg,38.17548,-119.079,N/A,N/A,2489,N/A,N/A,N/A,Ant hills. Only Artemisia tridentata vaseyana morphotype. Sparse bitterbrush,341,M,135165,0,0,0,6,Artemisia tridentata vaseyana,RA5,N/A,RA,0,Y,N,Y,54,94,96,0,0-5,0-5,75-100,0,0,252,
2018-05-06,"EFT, AC, PPW",8:45,106 (antechinus),RAN,Random paired with BD veg,38.17548,-119.079,N/A,N/A,2489,N/A,N/A,N/A,Ant hills. Only Artemisia tridentata vaseyana morphotype. Sparse bitterbrush,341,M,135165,0,0,0,6,Artemisia tridentata vaseyana,RA6,N/A,RA,0,Y,N,N,47,86,72,0,0-5,0,75-100,0,0,253,
2018-05-06,"AC, EFT, PPW",11:30,215 (cus cus),DBV,Off lek forage,38.19569,-119.027,2018-05-04,15:00,2559,N/A,N/A,N/A,"Fine sandy soil, sparse sage, dominated by non-sage shrub",416,M,164457,1,2,0,4,Artemisia tridentata vaseyana,BR1,"NB1, NB2",BR,14,N,N,N,83,128,88,0-5,0-5,0,75-100,0,5-25,269,5-25% woody
2018-05-06,"AC, EFT, PPW",11:30,215 (cus cus),DBV,Off lek forage,38.19569,-119.027,2018-05-04,15:00,2559,N/A,N/A,N/A,"Fine sandy soil, sparse sage, dominated by non-sage shrub",416,M,164457,1,2,0,4,Artemisia tridentata vaseyana,NB1,BR1,NB,0,N,N,N,77,126,161,5-25,0,0,75-100,0,5-25,270,5-25% woody
